,n_cells,gft_score,svg_rank,cutoff_gft_score,pvalue,qvalue
ENSG00000197971,3622,10.895310866469366,1,True,1.1690609900498408e-63,5.9830761544439556e-61
ENSG00000123560,2819,9.505464617112398,2,True,8.1557123772848e-37,8.939525060892931e-35
ENSG00000168314,904,7.824742182523092,3,True,0.46223264464891434,1.0
ENSG00000131711,3522,7.511804209293596,4,True,6.186182097105525e-69,4.140145752896142e-66
ENSG00000123416,3950,7.51029833592312,5,True,1.560339885659185e-54,5.0279590174711145e-52
ENSG00000277586,3036,7.404735992863738,6,True,4.77113606893516e-53,1.3722483163837488e-50
ENSG00000131095,3007,7.306046122738506,7,True,3.0835717373011342e-108,1.2625000535636511e-104
ENSG00000173786,1951,7.198041018519094,8,True,0.00048809409709077266,0.007703555860310732
ENSG00000101439,4192,7.103151766827272,9,True,3.7607075312255927e-78,3.68669730300022e-75
ENSG00000091513,1172,6.937317160149123,10,True,6.919453100232109e-10,1.6102066916826486e-08
ENSG00000087250,4201,6.653149510874941,11,True,9.2781185781821e-66,5.337044433092732e-63
ENSG00000104435,2921,6.604314559845101,12,True,1.3244508868084596e-09,3.030420665037028e-08
ENSG00000034510,4091,6.600852725325224,13,True,2.239614777677644e-12,5.986301891332209e-11
ENSG00000110484,3085,6.524051876880252,14,True,1.9346519784395283e-108,8.4160661293022e-105
ENSG00000170323,745,6.3054567951572045,15,True,3.80368286026566e-142,8.824890290317328e-138
ENSG00000109846,2628,6.096917337500234,16,True,1.324212752488836e-54,4.3069542912067906e-52
ENSG00000067715,3339,6.083428578422936,17,True,2.6385902654029705e-34,2.550737279795871e-32
ENSG00000124935,2381,6.0767850437815305,18,True,3.1409948708500808e-99,9.937355269520924e-96
ENSG00000172020,2952,6.024533656238487,19,True,2.6681898067877064e-42,4.054875393310103e-40
ENSG00000104722,1970,6.023897349688082,20,True,1.9478107882584147e-24,1.0509530786621035e-22
ENSG00000108387,1224,5.979130694807747,21,True,0.00222533603110004,0.03356218017694317
ENSG00000160307,2977,5.9357638938344515,22,True,1.0694717466193808e-52,3.0015384089670542e-50
ENSG00000182600,1488,5.89704013505546,23,True,3.5245392497059936e-43,5.600857340868682e-41
ENSG00000167641,914,5.885630925800506,24,True,0.04016899513092917,0.544261572303195
ENSG00000154277,3694,5.769475696471391,25,True,3.947762255654096e-17,1.3905618819517637e-15
ENSG00000132639,3958,5.765967689397906,26,True,5.756811664333287e-63,2.82175918501446e-60
ENSG00000137267,3449,5.764384838950622,27,True,3.177052638693456e-14,9.486552337457414e-13
ENSG00000143153,3610,5.729230368874831,28,True,5.332122842317705e-19,2.0955974202675933e-17
ENSG00000171885,1202,5.600241397610976,29,True,2.034171730493822e-69,1.3880774944847218e-66
ENSG00000154146,3959,5.592524721310055,30,True,5.739444612294739e-56,2.0278223860363648e-53
ENSG00000136541,358,5.556719700078641,31,True,0.9366820915053381,1.0
ENSG00000164124,391,5.547925154906117,32,True,4.04136513537572e-14,1.2005550310653986e-12
ENSG00000080822,1137,5.547913135853152,33,True,0.004223911722563901,0.06245927012598299
ENSG00000173432,879,5.541648135825256,34,True,3.305852487069466e-97,9.587348165615448e-94
ENSG00000080824,3757,5.537682377876237,35,True,7.011053691283454e-28,4.6211029605190194e-26
ENSG00000105695,588,5.533490129641603,36,True,0.8515064688406416,1.0
ENSG00000118785,673,5.501010421017989,37,True,0.5916374668920643,1.0
ENSG00000107317,3650,5.476086718505203,38,True,4.709905326513411e-47,9.313132550321875e-45
ENSG00000013297,517,5.466429135238493,39,True,4.951008883020902e-13,1.3839507283679378e-11
ENSG00000133318,3669,5.444524464823344,40,True,1.8833110102388126e-44,3.2366317667623586e-42
ENSG00000125144,1129,5.412576188472932,41,True,2.7088136953252147e-68,1.7620637993756242e-65
ENSG00000171476,2313,5.409794394495258,42,True,7.210280962655245e-38,8.448741321246222e-36
ENSG00000145824,1790,5.318318045681353,43,True,2.4047746011019417e-50,5.771685370410226e-48
ENSG00000104888,3054,5.305072373222139,44,True,1.85403689043674e-31,1.4764991752393916e-29
ENSG00000164919,3959,5.25134768366076,45,True,3.7031032013886717e-32,3.0867795201578725e-30
ENSG00000102003,2652,5.221349442851098,46,True,1.7089968929486018e-19,6.94400748533579e-18
ENSG00000128245,3749,5.216156500782175,47,True,5.61642724337549e-65,3.0540520735406814e-62
ENSG00000064787,565,5.190618283177207,48,True,1.022856497868697e-09,2.359748226693868e-08
ENSG00000096006,108,5.144184751108675,49,True,1.1847124192655622e-51,3.111668599709408e-49
ENSG00000166819,223,5.1243925724053705,50,True,2.4205363520824903e-90,4.67988712860273e-87
ENSG00000130203,3352,5.122457801873815,51,True,2.638954696295947e-29,1.8858157035946446e-27
