"pxl_col_in_fullres","pxl_row_in_fullres"
3913,2435
9791,8468
5769,2807
4068,9505
9271,4151
3393,7583
3665,8064
5709,11194
2757,9855
9437,9783
10865,2844
10690,7875
11302,8958
4703,7473
5658,8678
8470,10256
4087,6869
7213,3177
3036,9378
10934,2725
8220,6659
10244,2960
11426,10876
9021,10260
4394,2558
6816,10483
10924,4163
10378,3440
7574,10369
10572,5238
7385,7851
3582,10100
4080,7827
2893,10095
9979,10985
9146,2472
6107,3649
3819,5909
11189,5602
4269,10345
6476,9882
6550,9043
7059,5333
4580,5315
10101,3677
10523,2482
4626,8550
6383,3651
3812,6867
11363,10037
9245,7745
9385,7506
8858,4148
10703,6198
7521,8092
10079,6792
8205,8816
11211,2487
8745,10258
3106,9258
6629,7726
9720,8827
2956,10935
6877,11562
10436,4998
4450,4356
7551,4018
3939,8306
6294,6406
2788,5542
6527,2693
6775,6529
3059,6263
8720,4147
9261,5588
10699,6677
4898,9032
4115,3035
10992,4283
9003,3190
5043,8074
5679,5802
5306,9753
4507,5914
9170,8583
7279,3537
4218,7828
5147,3162
4894,9511
7411,4257
4920,5917
10549,8353
8461,11454
9604,5711
10577,4520
4337,10465
3979,2795
6336,10120
4432,6752
9141,3191
3512,10220
4865,4119
5483,4243
3727,9143
5714,10475
10542,9312
11414,3088
6809,11442
9387,7267
7624,3420
7610,5337
9106,7984
7207,3896
8319,2466
8404,9896
10905,6798
7446,8930
9132,4389
3312,9380
10943,10992
7792,8813
6447,4250
8023,5340
9955,4875
4319,3396
6402,10480
7267,5215
9237,8943
9102,8463
5456,8077
5661,8198
5633,2567
5544,5322
6669,11680
10253,11227
8518,3546
7875,6777
3481,5067
11491,11476
10551,8114
6113,2930
6964,9046
5808,7001
9094,9661
9135,3910
3634,2912
4661,3758
9184,6666
5588,8797
10446,3560
11512,8600
7342,4376
7338,4856
8937,2830
6179,3290
4035,4592
4645,5915
4176,4114
3266,6144
6181,3050
11330,5124
3228,11416
11470,4885
4521,3997
10602,10630
3170,9858
6477,9642
4666,3039
9351,2594
7462,6774
4647,5675
8083,6658
4774,7114
8288,6780
10265,9550
5445,9515
8986,5586
7786,9532
7516,8811
4813,11307
10136,8351
4338,10226
11402,4765
11365,9797
7779,10490
11476,3927
9482,3553
5172,9273
7450,8451
2951,11653
7807,6656
8339,9296
6733,2814
6092,5805
10283,7153
8778,5705
10900,7517
5407,5321
5952,6044
4202,9985
9123,5587
4549,9628
11078,11473
2829,9496
8367,5462
9108,7744
5565,2447
6031,4726
4917,6396
9726,7868
11400,5005
2984,7101
4497,7351
6062,9879
3475,5786
9934,7750
4628,8311
5299,10712
8274,8697
8614,9298
9956,4635
5112,7955
10053,10387
7007,3056
7572,10608
4846,6755
5383,8676
10665,11470
7695,3061
11166,8717
4099,5192
5301,10472
9633,11342
5933,8680
8691,8220
10448,3321
10438,4758
5017,11668
6686,9284
3271,5425
5696,3406
2909,7939
10274,8352
9742,5712
4295,6751
4390,3037
5024,10710
9512,8945
6036,4008
4594,3398
6601,11560
8254,11572
8217,7138
10624,7515
6935,3415
10255,10987
8468,10495
3868,8665
10363,5596
3467,6984
9118,6306
3800,8544
9280,2953
4835,8192
8144,7737
6027,5206
4244,4234
9195,5229
9744,5472
6852,5451
9474,4751
11278,2847
3887,6029
5205,4720
3374,10219
4622,9030
4957,10350
8323,11453
10189,10627
6219,7244
7305,9408
3104,9498
3353,3629
7105,8568
8874,11457
9057,5228
3376,9979
3704,2793
6748,10363
7987,10372
7107,8329
8487,7859
9779,10145
3373,10458
10949,10273
9066,4029
7415,3778
3857,10102
8182,2465
5499,11552
3047,7940
9435,10023
8414,8458
8557,7740
9897,3317
7741,6296
4858,5077
4575,6034
2848,6860
7933,8335
5334,5920
8749,9778
10106,2959
8006,7736
4190,11662
4152,7469
4983,6756
7078,2697
4896,9271
10516,3441
9446,8585
3404,6145
8433,5822
11243,7640
6646,5330
11337,4166
8970,7743
7206,4136
3861,9623
3355,3389
7361,11206
10840,6199
6233,5327
5480,4722
11487,2489
3142,4226
3925,10223
5750,5443
10419,7394
7673,6176
7694,3301
7676,5697
10335,9430
3967,4472
6071,8681
10678,9553
4419,8669
6730,3294
6796,3654
9577,9545
8311,3665
2809,2666
9293,10741
8756,8820
5452,8556
2778,6979
3735,7945
10988,4762
10798,2484
3380,9500
7131,4974
9355,11580
3610,6266
6688,9044
9798,7509
7044,7489
4603,11665
5323,7357
8349,7858
7967,3542
7903,2943
3917,11421
9937,7271
3768,3392
6967,8567
4607,11186
9565,11222
10715,4521
7422,2819
10368,4878
9434,10262
6139,8801
6170,4488
10049,10866
8133,9175
8382,3306
6503,6048
8186,11452
10143,7392
11123,5242
8002,8215
3215,3628
3054,6981
7765,2942
6595,2813
9895,3556
9242,8224
6634,7007
3599,7704
5667,7480
3144,3987
8707,6064
4511,5434
5327,6878
9645,9665
4755,9749
5161,10711
7237,9288
11229,9557
9664,7029
6080,7482
3368,11177
10877,10632
6479,9402
4178,3874
5517,9156
9568,10743
8553,8219
10711,5000
7275,4016
11473,4406
8314,3185
6453,3531
3519,9261
7372,9768
7331,5814
8189,10972
10884,9674
11027,8956
9115,6786
8206,8576
10072,7751
4950,11308
9519,7987
3793,9503
9693,2956
3101,9977
5444,9754
7282,3058
4833,8432
4849,6275
10556,7395
6746,10603
9561,11701
10131,9069
10493,6556
3788,10222
4011,7947
7355,2459
4436,6272
11367,9558
9153,10979
5097,10111
5145,3402
8381,3545
4007,8426
3657,9262
9948,5833
3358,2910
8300,5102
2851,6381
7127,5453
9803,6791
5740,6881
7622,3660
5993,9998
10295,5476
10450,3081
9786,9187
6983,6411
7635,11448
7823,4500
9772,11104
7697,2821
7663,7614
2811,2427
6831,8327
4910,7354
7051,6531
3130,5904
11010,11352
11349,2488
9672,5831
3672,7106
8386,2826
9702,11223
4657,4237
3849,11300
7922,9772
10232,4637
8201,9295
6897,8687
6552,8804
8070,8336
4941,3041
3516,9740
4492,8070
10915,5361
3418,4228
3092,11175
9429,10981
3645,10940
7347,3658
4954,10829
7396,6414
7708,10849
9455,7387
7080,2457
2890,10575
3186,7701
3041,8659
7134,4495
8180,2705
7527,7373
5463,7119
3690,4709
5363,11311
6522,3412
10563,6437
5789,9637
9296,10261
4881,11428
7481,4138
11147,11353
11546,3808
9552,3434
6123,10957
3927,9983
5612,5442
4675,11306
6615,9643
9929,8469
10030,4036
10215,7033
2869,3985
10546,8833
4270,10105
7894,4141
5583,9516
5077,3282
8681,9658
7540,5456
5764,3526
3924,10462
4753,9989
3941,8066
9944,6312
11262,5004
7513,9290
7589,8212
8947,10858
3484,4588
10396,10509
11450,7521
4352,8309
8151,6779
2856,5662
8145,7497
8588,3427
9430,10742
11456,6802
7600,6775
9165,9302
8485,8099
8316,2946
4818,10589
7617,4378
10973,6919
3385,8781
11478,3687
6397,11199
8156,6060
5473,5681
5281,3643
6570,6408
7192,6053
4934,4000
6871,2815
9343,3792
8132,9414
5002,4120
8977,6785
5014,2443
6359,7005
8968,7983
8344,8577
2968,9257
8611,9777
11074,2486
7952,5699
11529,6204
7732,7494
6663,2934
2958,10695
6160,5925
7909,11689
3461,7703
10202,8710
6671,11441
10082,6313
3435,11297
7056,5812
3535,7105
3653,9741
11025,9196
10684,8834
3641,11419
11311,7760
3378,9739
7814,5698
9357,11340
8837,7023
3730,8664
5804,7481
8126,10133
4697,8191
3536,6865
9563,11462
10237,3918
9531,6309
4380,4475
3618,5068
11370,9078
6041,3289
3387,8541
4720,5076
7244,8330
6644,5570
10410,8592
3946,7347
9448,8346
5037,8793
11022,9675
8250,2586
9827,3436
5954,5804
5855,9997
5093,10591
8848,5585
5102,9392
4016,7228
4094,5911
10473,9431
11539,4766
7204,4375
4718,5316
3904,3633
9721,8587
10999,3324
6320,2811
10068,8230
11187,5842
11146,11593
11417,2609
9554,3194
11408,3807
5813,6282
3639,11658
10330,10149
10922,4402
5393,7238
5208,4241
8417,7979
7713,10130
9472,4991
7950,5938
3503,11418
6580,4970
9547,4153
10080,6553
4413,9388
3183,8180
3283,3748
6498,6767
10451,2841
3660,8783
7717,9651
9179,7385
4140,9146
4542,10587
7263,5694
4159,6510
8342,8817
5194,6158
7438,10128
6756,9165
8531,11334
9308,8584
4073,8786
6372,5088
9983,10506
6749,10123
8885,10019
8368,5223
7225,10965
4565,7472
6470,10601
10391,11228
4546,10107
6132,9759
7274,4256
4750,10468
11107,7399
9888,4515
10818,9314
2986,6861
2870,3745
4283,8428
3732,8424
3826,4950
2886,11054
5315,8555
6859,4493
6576,5449
5843,11674
4267,10585
10192,10148
6549,9283
9125,5348
11177,7280
9414,3433
7026,9886
3594,8423
5347,4003
7298,10367
9008,2471
10783,4641
4457,3397
4530,2798
5285,3163
7661,7853
9144,2712
5030,9751
5224,11550
8677,10137
10250,11706
9610,4992
7892,4380
10267,9310
8688,8699
11335,4405
8011,7017
8855,4627
10145,7152
5874,7361
8578,4865
10178,2600
10591,2603
4692,8910
6043,3049
8044,2464
9638,10623
3437,11058
4359,7350
3702,3032
11018,10154
7234,9767
8627,7621
5414,4362
11153,10634
5872,7601
9543,4632
3006,3986
11191,5363
11464,5604
10663,11709
9514,8705
7241,8809
9381,7986
9291,10980
3871,8185
11048,6081
5496,2566
2877,2787
10680,9313
8710,5584
6134,9520
9585,8347
11447,8001
5403,5800
3836,3512
6585,4251
4493,7830
6329,11079
8817,9899
11161,9436
3930,9504
10509,4399
4854,5557
7495,11686
5660,8438
4030,5311
8928,4028
5975,2929
10354,6794
6413,9043
10567,5957
7899,3422
11156,10155
4150,7708
5895,4486
7256,6652
5506,10594
10579,4280
9458,6908
10945,10753
5027,10231
9116,6546
3543,5907
11140,2846
5850,10716
8844,6065
7120,6412
5623,4005
8034,3902
5166,9992
4915,6635
10286,6674
11316,7041
4148,7948
4668,2799
11090,9795
9950,5593
9911,10865
6612,10122
3950,6868
11224,10275
10692,7636
3305,10338
7887,5099
7389,7372
9073,3071
10117,10986
9974,11704
8806,11336
6929,4373
3371,10698
8051,10971
10291,5955
10239,3678
3538,6625
8229,5461
8865,3189
8822,9180
7019,10844
7767,2702
9831,2957
9545,4392
6311,4010
5062,5438
6061,10118
4460,2918
4551,9388
6341,9401
5163,10471
6012,7362
8966,8222
9580,9065
4871,3160
4725,4358
4185,2916
9660,7508
9200,4510
11328,5364
2820,10694
11421,11595
8975,7024
5475,5441
4354,8069
10488,7275
8332,10255
9028,9301
4764,8551
10429,5956
4830,8911
4173,4593
7335,5335
8055,10492
9796,7749
11124,5003
6353,7724
4682,10348
8771,6663
9878,5952
8863,3429
10258,10508
8888,9540
6146,7842
8773,6424
9376,8704
5663,7959
9024,9780
8904,7383
9289,11220
9263,5349
8679,9898
3603,7225
2806,3145
3390,8062
3263,6623
9338,4511
3487,4109
4377,4954
5806,7241
8306,4383
4488,8549
3341,5306
3752,5549
8926,4268
10457,11588
7905,2703
3345,4827
6228,6046
7249,7611
4108,3994
4593,3638
7093,10246
3439,10818
4037,4353
10051,10626
11121,5482
7070,3895
7856,9412
9793,8228
4905,8073
5907,2808
6971,8088
10129,9309
6224,6525
8659,3068
4706,6993
8358,6660
7954,5459
10652,3681
11410,3567
7725,8453
10584,3561
9880,5713
10216,6793
6352,7964
3899,4352
7108,8089
4861,4598
8060,9773
7162,10126
2747,11293
7720,9172
4778,6634
6939,2936
6590,3532
6597,2574
3296,11536
3705,2553
10716,4281
7168,9407
11248,6921
11004,2606
6120,11437
4945,2562
8147,7258
4277,9147
8438,5103
3540,6386
8065,9054
9174,8104
7094,10006
9990,9548
6993,4973
4525,3517
8545,9417
3474,6026
9122,5827
5881,6403
6094,5566
9191,5708
7423,2580
9505,9904
10598,11110
3759,4590
3486,4349
9899,3077
5046,7595
9468,5470
7682,4978
7194,5813
7418,3299
6700,7367
9801,7030
7443,9409
7860,8933
9226,10381
2837,8298
10194,9909
3514,9980
10009,6912
3176,9139
10352,7034
8248,2825
9096,9421
8785,4746
